battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range,
1310,1,2.2,1,0,1,51GB,0.6,100,4,0,178,1919,3845MB,7,0,12,1,1,0,"$43,099 ",
644,1,2.7,0,0,0,22 MB,0.7,157,8,3,311,881,1262MB,12,1,15,1,0,no,"$18,049 ",
725,0,1.3,1,16,0,60000 MB,0.4,160,8,17,1134,1249,1326MB,10,4,15,1,0,0,"49,089 pesos",
589,1,2.3,1,1,0,61 MB,0.6,160,4,10,429,815,2113MB,13,7,2,1,0,1,29100 USD,
1725,1,1.6,1,6,1,6000 MB,0.5,119,2,18,609,1307,3429MB,6,5,4,1,1,0,"$16,000 ",
790,0,2,1,16,1,11000 MB,0.3,87,6,17,347,730,3169MB,6,1,2,1,0,Yes,"$33,000 MXN",
560,0,0.5,1,15,0,50000 MB,0.3,159,2,20,1448,1613,2150MB,18,12,11,1,1,0,"$9,049 ",
1347,0,2.9,0,5,0,44 GB,0.6,132,1,14,434,967,2484MB,18,2,11,1,0,1,"45,099 pesos",
1646,1,2.3,0,8,1,41 GB,0.2,185,2,10,1725,1932,3339MB,18,10,19,1,1,0,6100 MXN,
1253,1,0.5,1,5,1,5GB,0.2,152,2,19,685,714,1878MB,15,0,4,1,1,no,"$40,100 ",
1656,0,1,0,5,1,34GB,0.1,166,3,7,880,1456,1629MB,15,12,14,1,1,0,"USD 18,000",
1195,1,2.8,0,1,1,20000 MB,0.8,110,2,14,1580,1652,504MB,9,3,12,1,1,no,45100 USD,
1514,0,2.9,0,0,0,27GB,0.2,118,3,1,186,1810,1152MB,8,3,20,0,1,Yes,9100 MXN,
1723,1,1.1,1,1,0,42000 MB,1,164,8,14,202,1791,3587MB,10,5,3,1,0,0,"$12,099 MXN",
1054,1,1.8,1,3,1,40960 MB,0.8,196,7,10,27,774,2296MB,16,12,12,1,0,yes,"$48,090 ",
578,1,2.6,1,2,1,57 GB,0.2,162,8,8,1025,1433,1270MB,15,3,5,1,0,yes,"$50,000 ",
596,0,2.1,1,9,0,64000 MB,0.8,111,8,15,885,1854,3238MB,16,13,10,0,0,0,"$8,090 ",
1547,1,3,1,2,1,14GB,0.7,198,3,19,1042,1832,2059MB,5,0,15,1,0,Yes,"$40,049 ",
1760,0,1.4,1,5,0,63 GB,0.8,127,8,19,1382,1383,2053MB,19,12,16,0,1,0,"$25,000 ",
1654,1,1.5,1,0,1,44032 MB,0.3,109,2,0,546,629,3112MB,12,5,10,1,1,No,"35,000 pesos",
1457,0,1.9,1,1,1,16GB,0.3,102,3,10,1013,1287,1440MB,17,8,12,1,0,yes,"$22,099 MXN",
1073,1,0.5,1,0,0,51GB,0.5,145,7,0,690,804,2908MB,6,0,18,0,1,0,"9,089 MXN",
1936,0,2.1,1,10,1,47104 MB,0.6,104,3,20,667,1036,2552MB,14,7,13,1,0,0,"$17,000 ",
823,1,2.7,1,13,0,61440 MB,0.5,148,8,19,822,1449,905MB,14,11,17,1,1,1,"USD 38,000",
987,0,1.3,1,0,1,61 MB,0.4,107,3,9,581,820,3963MB,9,4,20,1,0,yes,"USD 48,099",
1757,0,0.5,0,8,0,49 GB,0.5,180,6,14,265,713,2056MB,7,5,4,0,0,no,"$50,049 ",
1063,0,1.4,1,2,1,48 GB,1,128,5,4,127,683,2910MB,15,13,9,1,1,1,"$44,100 ",
1484,0,3,0,3,0,12 GB,0.6,134,3,5,916,969,1457MB,14,4,20,1,1,no,"$12,090 ",
799,1,2.3,0,1,1,63000 MB,0.8,144,8,6,361,975,431MB,15,6,6,1,1,1,"$40,099 ",
1156,1,1.2,1,0,1,50000 MB,0.8,159,2,0,322,547,470MB,7,0,15,1,1,0,"36,049 MXN",
1720,0,2,0,15,1,55000 MB,0.5,168,2,18,753,1353,2148MB,14,2,5,1,1,1,EUR 27090,
702,0,2.6,1,2,1,9 GB,0.7,141,3,3,504,1570,2955MB,10,4,19,1,0,No,"USD 35,099",
616,0,1.9,1,13,1,44 GB,0.8,81,3,17,651,1618,3366MB,18,8,13,1,1,no,"USD 17,049",
1358,1,0.5,0,11,1,36 GB,0.3,155,4,14,1565,1858,3068MB,9,4,4,1,1,0,"23,000 pesos",
1866,0,1.4,0,0,0,30 GB,0.5,182,3,0,108,1781,3834MB,16,11,8,0,0,0,"37,049 pesos",
1242,0,1.1,1,0,0,10 GB,0.6,165,2,1,459,1225,1050MB,11,1,4,1,0,yes,"USD 16,000",
1166,0,1.5,1,0,1,43 MB,0.8,80,4,1,205,603,3993MB,7,1,7,1,1,no,"$47,000 ",
1448,1,0.5,1,6,1,45 GB,0.8,138,7,11,570,1724,3378MB,13,11,2,1,1,yes,6000 USD,
1407,1,2.4,0,1,1,22 MB,0.7,104,4,4,1172,1217,2192MB,9,7,13,1,0,1,"6,049 MXN",
605,0,1,0,8,1,9GB,0.1,142,3,16,160,1026,392MB,15,6,4,1,0,no,"$44,099 ",
1038,0,1.2,0,3,0,44032 MB,0.7,141,1,5,4,638,3709MB,11,0,12,1,1,Yes,"36,049 pesos",
797,1,2.9,1,4,0,38912 MB,0.5,90,4,6,763,1413,590MB,9,2,6,0,1,no,"$38,099 ",
819,0,0.6,1,8,1,42GB,0.9,188,6,20,339,1242,1814MB,5,4,13,1,0,yes,"$32,099 ",
1114,0,2.8,0,4,1,9216 MB,0.4,197,3,15,1040,1071,907MB,10,7,17,1,1,0,8000 MXN,
1234,1,1.6,1,1,0,33GB,0.6,172,1,3,166,778,1449MB,11,7,6,0,0,yes,24100 MXN,
1199,1,2.5,1,15,1,16 MB,0.2,116,4,20,1168,1552,3448MB,17,13,10,1,0,1,"USD 31,000",
1103,0,1,1,6,0,29696 MB,0.7,111,6,8,990,1486,1837MB,8,7,16,0,1,1,5100 USD,
1589,1,0.6,1,0,1,59392 MB,0.9,85,7,7,319,1206,3464MB,19,10,6,1,1,yes,"$8,049 ",
999,0,2.9,1,11,1,64 GB,0.2,199,4,19,1397,1616,2593MB,14,11,16,1,1,no,"$14,099 ",
1510,1,0.9,1,2,0,45GB,0.9,180,5,3,708,1752,3484MB,9,6,11,0,1,yes,"29,049 MXN",
1008,0,0.8,0,11,0,61 MB,1,114,3,15,1077,1122,2009MB,10,3,11,1,0,no,"USD 31,049",
1127,1,2.9,1,5,1,57 GB,0.8,163,1,13,928,1049,2048MB,11,5,17,1,1,1,"$30,000 MXN",
1412,1,2.4,0,5,0,25 MB,0.8,96,8,17,516,1894,837MB,15,9,4,0,0,1,"USD 43,000",
1496,1,2,1,4,0,42000 MB,0.5,182,5,5,96,741,854MB,16,0,7,0,1,1,"$50,049 ",
1083,1,2.9,1,1,1,64 GB,0.8,178,3,11,1025,1118,3210MB,13,3,4,1,0,0,EUR 28100,
668,0,0.5,1,0,0,3072 MB,0.1,155,5,13,666,1203,2746MB,9,5,8,1,1,Yes,"$15,099 MXN",
1309,0,1.1,1,0,0,33000 MB,0.5,100,4,14,557,1402,2334MB,10,1,11,1,0,1,"$12,099 MXN",
1724,0,2,1,2,1,58368 MB,0.5,177,3,5,1605,1924,2822MB,19,3,16,1,1,0,EUR 26090,
1977,1,2,1,7,1,55296 MB,1,171,7,18,1226,1242,1971MB,18,7,14,1,1,No,"$20,100 ",
885,0,2.3,1,0,1,15 GB,0.4,103,7,0,769,802,1410MB,16,10,5,1,1,yes,"$44,099 ",
879,1,2.5,0,11,1,14 MB,0.7,83,6,15,403,1105,349MB,16,10,2,1,0,1,"$14,089 ",
1322,0,1.7,1,6,0,7 GB,0.8,140,3,9,177,1990,1418MB,19,17,12,0,1,No,5000 USD,
1137,1,1,0,18,0,7 GB,1,196,3,19,942,1179,3616MB,13,5,12,1,1,1,"5,000 pesos",
1355,0,2.3,0,10,1,23GB,0.2,132,5,16,651,891,880MB,19,4,8,1,1,0,"$32,049 MXN",
1665,1,0.5,0,3,1,61440 MB,0.2,194,6,18,1572,1684,1601MB,18,17,14,1,0,no,"$34,000 ",
657,0,2.5,0,0,0,37000 MB,0.7,141,2,1,476,961,1412MB,14,3,18,0,1,0,"$6,000 ",
593,0,0.5,0,6,0,31744 MB,0.4,156,7,7,1233,1317,1692MB,6,2,7,1,0,no,"27,000 pesos",
1883,1,0.5,0,3,1,10 MB,0.3,146,6,13,836,1739,2600MB,16,8,20,1,0,No,"17,000 pesos",
1732,1,1.1,0,4,1,12 MB,0.8,119,8,9,824,881,1308MB,16,7,11,1,0,yes,"7,099 pesos",
543,0,0.5,0,0,0,58368 MB,0.7,192,5,4,391,984,2413MB,17,14,15,1,0,0,"38,089 MXN",
1939,1,2.8,1,0,1,55GB,0.6,199,4,10,320,520,1047MB,14,10,18,1,1,0,"$15,089 ",
553,0,2.4,1,1,1,8 GB,0.5,121,7,3,325,902,1204MB,11,4,8,1,1,1,"$18,099 ",
832,0,0.7,1,2,1,39936 MB,0.7,103,4,3,125,1504,1799MB,5,2,11,1,0,yes,EUR 44090,
1661,0,1.9,1,5,0,23 GB,1,172,5,10,846,1634,2676MB,12,6,11,0,1,1,"$22,000 MXN",
1657,1,2.4,0,3,0,42 MB,0.1,198,5,16,1770,1796,2597MB,18,1,14,1,0,no,"USD 31,000",
1135,1,2,1,0,0,46 GB,0.3,83,1,4,293,1846,3029MB,19,17,9,1,1,yes,"$36,000 ",
1775,1,1.5,0,3,0,41000 MB,0.1,163,1,7,1633,1869,2343MB,19,13,14,1,1,1,18000 USD,
783,0,1.8,1,0,1,43000 MB,1,106,3,4,1198,1471,2016MB,16,4,18,1,1,0,6000 USD,
617,1,2.3,0,0,0,32 MB,0.5,199,7,20,768,874,2213MB,18,13,7,0,0,0,EUR 20000,
867,0,1.4,1,0,1,4GB,0.7,135,6,1,70,1974,790MB,13,6,3,1,1,0,"36,089 pesos",
1310,1,1.1,1,13,0,7 GB,1,194,5,14,117,513,3182MB,8,4,5,1,1,no,"$43,000 ",
1804,0,0.5,0,9,1,22GB,0.6,153,7,19,1158,1244,3472MB,9,1,20,1,0,1,"$21,000 ",
1900,1,2.3,0,1,1,18000 MB,0.2,89,7,9,1055,1661,2871MB,12,1,13,1,1,1,"USD 18,000",
909,1,1.4,0,0,0,53GB,0.3,82,8,0,635,973,3187MB,12,9,4,1,0,0,"49,049 MXN",
1084,1,2.6,0,3,1,40000 MB,0.9,107,3,11,322,771,1945MB,15,4,10,1,1,0,20000 USD,
1308,0,1.3,1,8,0,46 GB,0.9,199,1,12,275,989,488MB,5,3,9,0,1,no,"$15,090 ",
1778,0,0.5,0,0,0,15 GB,0.5,102,3,0,1445,1954,1214MB,5,0,14,1,0,no,"$33,089 MXN",
1701,1,1.6,1,3,0,10 GB,0.3,194,8,7,550,1338,2598MB,12,9,6,0,1,No,"7,099 MXN",
772,1,2.4,1,1,1,10 MB,0.5,80,4,2,1242,1712,3242MB,18,11,4,1,1,No,4000 USD,
825,1,0.5,1,7,0,52 GB,0.9,130,3,10,597,863,3534MB,10,4,6,0,1,no,"$10,089 ",
1379,0,1.1,0,5,1,36GB,0.8,200,2,7,538,1376,3426MB,5,4,17,1,1,Yes,"$49,100 ",
1166,0,2,0,3,1,25000 MB,0.8,198,5,4,59,1203,2488MB,13,5,15,1,0,0,"$47,100 ",
1659,0,2.8,0,5,0,16 GB,0.6,89,1,20,819,902,3255MB,19,14,9,0,0,yes,"USD 2,000",
826,1,2.4,1,0,1,59392 MB,0.3,88,4,1,179,786,2863MB,9,3,18,1,0,yes,"$46,000 ",
1564,0,2.3,0,4,1,25 GB,0.5,189,6,17,1259,1965,1496MB,6,4,7,1,1,yes,"4,089 pesos",
1957,0,0.9,1,11,0,31000 MB,0.6,181,3,16,396,1732,3801MB,12,0,7,1,0,1,37000 MXN,
1571,0,1.4,0,0,1,19 MB,0.1,100,6,1,713,1398,666MB,12,10,13,1,1,0,"10,000 MXN",
1414,0,2,1,2,0,54 MB,0.8,99,7,3,262,829,3799MB,17,7,7,1,0,1,25000 USD,
1790,0,2.5,1,9,0,2GB,0.1,184,1,14,622,792,1366MB,7,0,20,1,1,Yes,"USD 15,049",
645,0,0.5,0,1,0,41000 MB,1,197,7,10,327,580,2962MB,12,9,4,1,1,yes,"24,099 pesos",
668,0,2.9,1,7,0,30 MB,0.2,195,8,12,522,1056,2399MB,10,5,7,1,1,Yes,"$49,049 ",
1652,1,1.1,1,1,0,36GB,0.7,89,4,5,313,1264,2338MB,12,8,20,0,0,No,12000 MXN,
1213,1,0.5,0,0,0,16000 MB,0.5,108,5,0,226,1248,2700MB,12,3,9,0,0,yes,3000 USD,
1272,1,2.5,1,0,0,22GB,0.9,133,6,8,605,669,2235MB,19,4,4,1,0,0,"28,049 MXN",
866,0,0.5,1,5,1,46GB,0.5,179,8,7,692,1686,3825MB,12,11,2,1,1,1,12000 MXN,
536,0,2.4,1,12,1,3000 MB,0.3,182,7,14,1386,1539,284MB,12,9,4,1,1,No,"$4,099 ",
523,0,2.6,1,1,0,14336 MB,0.1,155,8,2,304,1042,1427MB,9,1,9,0,1,0,14100 USD,
1753,0,0.5,1,0,1,31000 MB,0.1,134,1,18,1590,1926,1324MB,17,0,17,1,0,yes,"$21,049 ",
1218,0,1.8,1,1,1,14336 MB,0.5,147,3,4,229,616,398MB,17,0,5,1,0,0,3000 MXN,
1537,1,2.5,0,4,1,43000 MB,0.3,137,1,5,839,1131,3685MB,18,17,17,1,1,1,"USD 23,089",
786,0,2.2,1,0,0,33000 MB,0.5,141,7,6,507,1697,2390MB,12,11,5,1,0,1,"$19,090 ",
1678,0,2.1,0,3,1,65536 MB,0.9,134,3,11,436,536,278MB,19,0,10,1,1,0,"$27,089 MXN",
1814,0,1.4,1,1,1,9000 MB,0.4,141,2,2,756,786,3556MB,18,12,16,1,0,no,"$9,089 ",
1101,0,1.8,0,0,0,31744 MB,0.2,148,2,7,387,1269,2196MB,12,6,19,0,1,1,"$39,089 MXN",
1461,0,2.4,1,3,1,40 GB,0.5,141,7,4,1265,1298,3799MB,16,1,4,1,0,No,8100 USD,
1216,0,3,0,4,0,47 MB,0.4,199,3,7,1852,1967,2268MB,13,5,4,0,1,1,48100 MXN,
506,0,1.6,0,6,1,41984 MB,0.8,159,1,7,875,1025,2965MB,13,10,15,1,0,No,40000 MXN,
843,1,0.5,0,1,1,56 MB,0.1,147,5,17,140,800,2341MB,10,1,20,1,1,yes,"38,049 MXN",
742,0,2.2,1,4,0,57344 MB,0.2,190,7,14,577,1359,3557MB,16,11,12,0,1,1,"$4,099 MXN",
1692,1,2.1,0,3,1,62464 MB,0.9,176,6,12,975,1996,1354MB,16,7,19,1,0,0,35000 USD,
1485,0,1,0,2,1,32GB,0.7,84,2,9,510,1013,2147MB,19,1,11,1,1,0,29000 USD,
1547,0,2.9,1,6,0,46080 MB,0.7,166,2,8,583,590,505MB,12,2,3,0,1,yes,"USD 41,089",
1692,0,2.3,1,4,1,46GB,0.9,139,1,6,674,1925,1394MB,16,10,6,1,1,No,"$48,090 ",
637,0,2.3,0,3,1,60 MB,0.8,97,4,4,1125,1989,374MB,18,4,8,1,0,yes,21100 USD,
1224,0,0.5,0,16,1,6 GB,0.4,109,6,18,747,826,506MB,10,0,11,1,1,Yes,"$27,090 ",
1356,0,2.8,0,0,0,29GB,0.5,198,6,0,1612,1983,3702MB,17,0,19,0,0,0,10000 MXN,
1840,0,0.5,1,12,0,34000 MB,0.7,142,1,16,311,1545,1078MB,8,0,10,0,0,no,"$44,099 ",
1481,1,0.7,1,4,1,37 GB,0.6,96,5,13,116,1533,2945MB,10,5,16,1,1,1,41100 MXN,
961,1,1.5,1,10,0,52224 MB,0.3,152,6,16,554,621,2981MB,15,6,7,1,1,yes,"37,000 MXN",
1296,0,0.9,1,0,1,14 MB,0.5,124,5,3,811,1272,490MB,7,1,4,1,1,1,20000 MXN,
1193,0,0.9,0,11,0,26624 MB,0.5,166,1,20,730,1729,536MB,17,14,4,1,0,yes,EUR 39090,
1441,0,2.1,1,11,1,3 GB,0.1,118,8,17,577,1071,2317MB,16,4,7,1,0,yes,"$30,099 ",
517,0,1.4,1,3,1,33 GB,0.8,183,4,8,660,974,3704MB,17,16,11,1,0,yes,"$34,099 ",
748,1,1.7,0,0,1,27 MB,0.9,150,8,4,450,1554,2126MB,18,9,7,1,0,no,"44,000 MXN",
1126,1,2.4,0,2,1,10 GB,0.4,160,6,3,1223,1611,2050MB,7,6,12,1,1,Yes,"USD 34,089",
1572,0,0.6,0,0,1,58 GB,0.2,157,7,8,1109,1937,2462MB,12,8,10,1,0,no,"50,049 MXN",
1569,0,2.8,1,17,0,45056 MB,0.3,110,4,20,45,1942,1260MB,9,2,17,1,0,no,"$16,049 ",
1270,1,0.6,1,2,1,32768 MB,0.5,101,7,6,299,845,3770MB,5,3,13,1,1,no,"$3,000 ",
1854,0,3,0,2,1,8192 MB,0.1,101,5,5,506,627,1886MB,17,4,20,1,1,no,EUR 32000,
625,1,1.2,1,5,1,10240 MB,0.2,183,4,8,635,842,3323MB,9,1,7,1,1,1,28000 MXN,
1577,0,0.5,1,0,1,42 GB,0.3,197,5,4,1045,1737,2060MB,19,6,12,1,0,No,"$33,099 ",
534,0,0.5,1,0,1,16384 MB,1,189,5,1,393,1199,3926MB,16,12,20,1,0,no,"USD 11,000",
946,0,1.7,1,8,1,25 GB,0.8,143,6,15,650,1740,2177MB,7,5,13,1,1,yes,"$29,049 ",
685,0,0.5,0,2,0,29 GB,0.8,93,7,10,433,648,728MB,14,8,4,0,0,yes,"$46,099 MXN",
1949,0,1.3,1,0,0,23552 MB,0.1,101,5,1,839,1136,2478MB,14,8,20,1,0,no,"USD 37,049",
947,0,0.8,1,0,1,22000 MB,0.1,197,2,13,1176,1220,2842MB,16,12,2,1,0,0,EUR 31000,
801,1,2.2,1,2,0,63 GB,0.4,165,7,4,650,879,1617MB,17,4,19,0,0,yes,EUR 44090,
703,1,2.7,0,12,1,30720 MB,0.3,113,1,20,218,1065,1472MB,14,7,7,1,0,no,"$41,100 ",
1165,1,2.4,0,11,0,41984 MB,0.2,178,6,12,564,831,764MB,19,12,15,1,0,no,EUR 30000,
1082,0,0.8,0,0,0,38 GB,0.1,198,8,5,986,1191,2337MB,6,1,17,0,1,1,"$30,089 ",
959,1,2.6,1,15,0,20 GB,1,84,4,19,561,1631,3965MB,16,1,6,1,0,no,"$42,090 ",
1502,1,1.2,0,0,0,54 GB,0.2,138,5,12,65,588,3693MB,17,14,16,1,1,No,"33,049 MXN",
1380,1,2.1,1,1,1,4 GB,0.8,92,3,13,420,500,797MB,13,2,15,1,1,no,"30,000 MXN",
1266,0,0.5,0,0,1,5 GB,0.1,95,6,9,1365,1698,1687MB,11,0,18,1,0,No,17100 USD,
1934,1,2.6,1,0,1,46GB,0.1,103,1,17,619,1299,2940MB,13,9,2,1,1,1,"$22,000 ",
1905,1,0.5,0,3,1,6144 MB,0.5,151,1,5,849,898,1545MB,9,5,10,1,1,no,11000 MXN,
1831,0,1.4,1,2,0,44032 MB,0.9,150,5,5,611,1381,3834MB,17,7,13,1,1,yes,"$46,049 ",
596,0,1.4,0,8,0,46GB,0.6,165,1,18,953,984,2505MB,15,4,15,1,1,No,6100 MXN,
1562,1,1.3,1,1,1,7000 MB,0.2,190,5,15,642,1533,2243MB,12,10,6,1,0,no,23100 MXN,
1490,1,0.5,1,4,1,64 GB,0.3,150,8,8,1417,1464,3600MB,17,9,7,1,1,1,5000 MXN,
1523,1,2.4,0,5,1,57GB,0.2,117,2,6,247,539,3971MB,18,12,10,1,1,1,"26,000 pesos",
640,0,0.6,0,0,0,20 GB,0.1,163,4,15,710,1179,2844MB,7,5,18,1,1,0,"$26,099 MXN",
1526,0,2.1,0,1,1,23552 MB,0.2,117,7,8,718,751,2227MB,18,10,3,1,1,0,24100 MXN,
1989,0,2.5,1,0,1,41984 MB,0.8,94,3,13,1100,1497,1665MB,17,9,12,1,1,1,EUR 28000,
1308,0,1.9,0,0,1,61 GB,0.7,106,3,7,59,1215,3355MB,15,2,4,1,0,yes,16100 MXN,
609,0,0.5,0,3,0,26 GB,0.3,93,4,4,938,1948,1866MB,11,10,14,1,1,1,33000 MXN,
1905,0,0.6,1,9,1,36 GB,0.4,119,3,20,825,1542,1287MB,13,4,16,1,0,0,"$23,099 ",
1703,1,0.5,0,0,1,22 GB,0.6,192,1,0,286,1235,1046MB,5,4,13,1,0,1,"31,049 pesos",
1445,1,2.4,1,7,1,20480 MB,0.4,173,7,15,1273,1345,1441MB,7,4,13,1,1,Yes,36000 MXN,
1087,0,1.3,0,0,1,16 MB,0.3,166,3,9,295,589,690MB,14,6,6,1,0,1,"USD 39,000",
671,0,0.9,1,10,0,30 GB,0.7,105,7,17,852,1182,2504MB,6,4,15,1,0,0,"$43,099 ",
1472,1,2.3,0,6,0,61 MB,0.1,168,6,19,710,1052,2677MB,19,15,8,1,0,No,"$31,049 MXN",
765,0,0.5,1,0,1,47000 MB,0.3,115,8,1,1277,1429,2243MB,11,7,4,1,0,yes,18100 USD,
1642,0,0.5,1,16,1,8192 MB,0.3,171,6,17,129,873,2984MB,13,4,17,1,0,1,15100 USD,
1265,0,1.5,0,7,0,49000 MB,0.7,182,5,16,690,836,1362MB,5,0,12,0,0,1,"23,099 MXN",
664,1,1.1,1,1,1,51GB,0.1,110,7,4,701,1478,3629MB,19,15,6,1,1,Yes,"50,099 MXN",
1277,1,0.5,1,0,1,35 GB,0.4,142,6,6,309,1460,3559MB,18,17,6,1,1,No,"$7,099 MXN",
1395,0,1.8,1,0,0,23 GB,0.1,111,3,1,213,705,2571MB,11,0,13,1,0,1,49000 USD,
1539,1,2.6,0,0,0,41984 MB,0.1,159,8,0,1112,1666,2107MB,15,9,10,1,0,1,"$16,000 MXN",
1049,1,2.2,0,9,0,63000 MB,0.5,135,5,17,199,1077,1022MB,11,3,13,0,0,No,"$50,000 ",
1827,0,1.7,0,4,1,39936 MB,0.5,128,5,16,55,1020,2844MB,14,9,10,1,1,no,"14,000 pesos",
903,0,1,1,0,1,50 MB,0.4,91,1,0,1230,1235,711MB,9,5,10,1,1,no,"$11,049 ",
1987,1,0.5,0,3,1,53 GB,1,181,3,7,1052,1516,3117MB,18,5,8,1,1,1,"32,000 pesos",
1154,0,1.2,1,0,1,49 MB,0.2,181,8,2,541,1499,978MB,5,3,7,1,0,1,"15,099 MXN",
1336,0,0.9,0,5,1,17GB,0.2,194,5,9,55,583,1869MB,13,1,16,1,1,1,"25,049 pesos",
1886,0,0.5,0,0,1,24000 MB,0.4,112,3,1,809,1958,1179MB,16,7,20,1,0,yes,"$40,000 ",
1551,0,1.1,0,4,0,51 GB,0.1,88,5,6,1738,1995,3844MB,11,8,4,0,1,0,"21,000 pesos",
850,1,1.6,1,6,1,29 MB,0.5,133,5,19,404,642,593MB,19,17,10,1,0,1,"3,089 pesos",
660,0,0.5,0,5,1,40 GB,0.5,111,2,10,262,1178,588MB,6,5,18,1,1,1,45100 MXN,
1225,1,2.1,1,8,0,13312 MB,0.5,116,4,12,759,1404,3836MB,12,11,11,0,0,0,"USD 47,049",
1452,1,0.5,1,1,1,25 GB,0.9,123,6,11,42,1040,2669MB,12,10,13,1,0,No,"USD 39,049",
1686,1,2.8,1,3,0,38GB,0.1,166,4,4,397,1453,2958MB,14,11,2,0,0,no,"46,089 pesos",
1634,1,1.4,0,1,1,17 GB,0.2,200,2,5,964,1677,3031MB,11,6,6,1,1,Yes,9000 USD,
1708,1,2.4,1,18,1,49 MB,0.1,109,1,19,233,517,3388MB,6,4,16,1,1,yes,36100 USD,
