battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1156.0,1,1.2,1,5.6,1,50.0,0.8,159.0,2.0,10.4,322.0,547.0,2.0,7.0,6.3,15.0,1,1,0,1.0
1720.0,0,2.0,0,15.0,1,55.0,0.5,168.0,2.0,18.0,753.0,1353.0,2.0,14.0,2.0,5.0,1,1,1,31.0
702.0,0,2.6,1,2.0,1,9.0,0.7,141.0,3.0,3.0,504.0,1570.0,2.0,10.0,4.0,19.0,1,0,0,35.0
616.0,0,1.9,1,13.0,1,44.0,0.8,81.0,3.0,17.0,651.0,1618.0,3.0,18.0,8.0,13.0,1,1,0,17.0
1358.0,1,0.5,0,11.0,1,36.0,0.3,155.0,4.0,14.0,1565.0,1858.0,3.0,9.0,4.0,4.0,1,1,0,1.0
1866.0,0,1.4,0,5.6,0,30.0,0.5,182.0,3.0,10.4,108.0,1781.0,3.0,16.0,11.0,8.0,0,0,0,2.0
1242.0,0,1.1,1,5.6,0,10.0,0.6,165.0,2.0,1.0,459.0,1225.0,1.0,11.0,1.0,4.0,1,0,1,16.0
1166.0,0,1.5,1,5.6,1,32.3,0.8,80.0,4.0,1.0,205.0,603.0,3.0,7.0,1.0,7.0,1,1,0,2.0
1448.0,1,0.5,1,6.0,1,45.0,0.8,138.0,7.0,11.0,570.0,1724.0,3.0,13.0,11.0,2.0,1,1,1,6.0
1407.0,1,2.4,0,1.0,1,32.3,0.7,104.0,4.0,4.0,1172.0,1217.0,2.0,9.0,7.0,13.0,1,0,1,12.1
605.0,0,1.0,0,8.0,1,9.0,0.1,142.0,3.0,16.0,160.0,1026.0,2.0,15.0,6.0,4.0,1,0,0,2.0
1038.0,0,1.2,0,3.0,0,44.0,0.7,141.0,1.0,5.0,4.0,638.0,3.0,11.0,6.3,12.0,1,1,1,1.0
797.0,1,2.9,1,4.0,0,38.0,0.5,90.0,4.0,6.0,763.0,1413.0,2.0,9.0,2.0,6.0,0,1,0,2.0
819.0,0,0.6,1,8.0,1,42.0,0.9,188.0,6.0,20.0,339.0,1242.0,1.0,5.0,4.0,13.0,1,0,1,1.0
1114.0,0,2.8,0,4.0,1,9.0,0.4,197.0,3.0,15.0,1040.0,1071.0,2.0,10.0,7.0,17.0,1,1,0,12.1
1234.0,1,1.6,1,1.0,0,33.0,0.6,172.0,1.0,3.0,166.0,778.0,1.0,11.0,7.0,6.0,0,0,1,1.0
1199.0,1,2.5,1,15.0,1,32.3,0.2,116.0,4.0,20.0,1168.0,1552.0,3.0,17.0,13.0,10.0,1,0,1,31.0
1103.0,0,1.0,1,6.0,0,29.0,0.7,111.0,6.0,8.0,990.0,1486.0,1.0,8.0,7.0,16.0,0,1,1,5.0
1589.0,1,0.6,1,5.6,1,59.0,0.9,85.0,7.0,7.0,319.0,1206.0,3.0,19.0,10.0,6.0,1,1,1,12.1
999.0,0,2.9,1,11.0,1,64.0,0.2,199.0,4.0,19.0,1397.0,1616.0,2.0,14.0,11.0,16.0,1,1,0,12.1
1510.0,1,0.9,1,2.0,0,45.0,0.9,180.0,5.0,3.0,708.0,1752.0,3.0,9.0,6.0,11.0,0,1,1,1.0
1008.0,0,0.8,0,11.0,0,32.3,1.0,114.0,3.0,15.0,1077.0,1122.0,2.0,10.0,3.0,11.0,1,0,0,31.0
1127.0,1,2.9,1,5.0,1,57.0,0.8,163.0,1.0,13.0,928.0,1049.0,2.0,11.0,5.0,17.0,1,1,1,1.0
1412.0,1,2.4,0,5.0,0,32.3,0.8,96.0,8.0,17.0,516.0,1894.0,2.0,15.0,9.0,4.0,0,0,1,43.0
1496.0,1,2.0,1,4.0,0,42.0,0.5,182.0,5.0,5.0,96.0,741.0,2.0,16.0,6.3,7.0,0,1,1,2.0
1083.0,1,2.9,1,1.0,1,64.0,0.8,178.0,3.0,11.0,1025.0,1118.0,3.0,13.0,3.0,4.0,1,0,0,32.0
668.0,0,0.5,1,5.6,0,3.0,0.1,155.0,5.0,13.0,666.0,1203.0,2.0,9.0,5.0,8.0,1,1,1,12.1
1309.0,0,1.1,1,5.6,0,33.0,0.5,100.0,4.0,14.0,557.0,1402.0,2.0,10.0,1.0,11.0,1,0,1,12.1
1724.0,0,2.0,1,2.0,1,58.0,0.5,177.0,3.0,5.0,1605.0,1924.0,2.0,19.0,3.0,16.0,1,1,0,30.0
1977.0,1,2.0,1,7.0,1,55.0,1.0,171.0,7.0,18.0,1226.0,1242.0,1.0,18.0,7.0,14.0,1,1,0,1.0
885.0,0,2.3,1,5.6,1,15.0,0.4,103.0,7.0,10.4,769.0,802.0,1.0,16.0,10.0,5.0,1,1,1,2.0
879.0,1,2.5,0,11.0,1,32.3,0.7,83.0,6.0,15.0,403.0,1105.0,2.0,16.0,10.0,2.0,1,0,1,12.1
1322.0,0,1.7,1,6.0,0,7.0,0.8,140.0,3.0,9.0,177.0,1990.0,1.0,19.0,17.0,12.0,0,1,0,5.0
1137.0,1,1.0,0,18.0,0,7.0,1.0,196.0,3.0,19.0,942.0,1179.0,3.0,13.0,5.0,12.0,1,1,1,12.1
1355.0,0,2.3,0,10.0,1,23.0,0.2,132.0,5.0,16.0,651.0,891.0,2.0,19.0,4.0,8.0,1,1,0,1.0
1665.0,1,0.5,0,3.0,1,61.0,0.2,194.0,6.0,18.0,1572.0,1684.0,1.0,18.0,17.0,14.0,1,0,0,1.0
657.0,0,2.5,0,5.6,0,37.0,0.7,141.0,2.0,1.0,476.0,961.0,1.0,14.0,3.0,18.0,0,1,0,12.1
593.0,0,0.5,0,6.0,0,31.0,0.4,156.0,7.0,7.0,1233.0,1317.0,1.0,6.0,2.0,7.0,1,0,0,1.0
1883.0,1,0.5,0,3.0,1,32.3,0.3,146.0,6.0,13.0,836.0,1739.0,2.0,16.0,8.0,20.0,1,0,0,12.1
1732.0,1,1.1,0,4.0,1,32.3,0.8,119.0,8.0,9.0,824.0,881.0,1.0,16.0,7.0,11.0,1,0,1,12.1
543.0,0,0.5,0,5.6,0,58.0,0.7,192.0,5.0,4.0,391.0,984.0,2.0,17.0,14.0,15.0,1,0,0,2.0
1939.0,1,2.8,1,5.6,1,55.0,0.6,199.0,4.0,10.0,320.0,520.0,1.0,14.0,10.0,18.0,1,1,0,12.1
553.0,0,2.4,1,1.0,1,8.0,0.5,121.0,7.0,3.0,325.0,902.0,1.0,11.0,4.0,8.0,1,1,1,12.1
832.0,0,0.7,1,2.0,1,39.0,0.7,103.0,4.0,3.0,125.0,1504.0,1.0,5.0,2.0,11.0,1,0,1,51.0
1661.0,0,1.9,1,5.0,0,23.0,1.0,172.0,5.0,10.0,846.0,1634.0,2.0,12.0,6.0,11.0,0,1,1,1.0
1657.0,1,2.4,0,3.0,0,32.3,0.1,198.0,5.0,16.0,1770.0,1796.0,2.0,18.0,1.0,14.0,1,0,0,31.0
1135.0,1,2.0,1,5.6,0,46.0,0.3,83.0,1.0,4.0,293.0,1846.0,3.0,19.0,17.0,9.0,1,1,1,1.0
1775.0,1,1.5,0,3.0,0,41.0,0.1,163.0,1.0,7.0,1633.0,1869.0,2.0,19.0,13.0,14.0,1,1,1,18.0
783.0,0,1.8,1,5.6,1,43.0,1.0,106.0,3.0,4.0,1198.0,1471.0,2.0,16.0,4.0,18.0,1,1,0,6.0
617.0,1,2.3,0,5.6,0,32.3,0.5,199.0,7.0,20.0,768.0,874.0,2.0,18.0,13.0,7.0,0,0,0,23.0
867.0,0,1.4,1,5.6,1,4.0,0.7,135.0,6.0,1.0,70.0,1974.0,2.0,13.0,6.0,3.0,1,1,0,1.0
1310.0,1,1.1,1,13.0,0,7.0,1.0,194.0,5.0,14.0,117.0,513.0,3.0,8.0,4.0,5.0,1,1,0,2.0
1804.0,0,0.5,0,9.0,1,22.0,0.6,153.0,7.0,19.0,1158.0,1244.0,3.0,9.0,1.0,20.0,1,0,1,1.0
1900.0,1,2.3,0,1.0,1,18.0,0.2,89.0,7.0,9.0,1055.0,1661.0,2.0,12.0,1.0,13.0,1,1,1,18.0
909.0,1,1.4,0,5.6,0,53.0,0.3,82.0,8.0,10.4,635.0,973.0,3.0,12.0,9.0,4.0,1,0,0,2.0
1084.0,1,2.6,0,3.0,1,40.0,0.9,107.0,3.0,11.0,322.0,771.0,1.0,15.0,4.0,10.0,1,1,0,20.0
1308.0,0,1.3,1,8.0,0,46.0,0.9,199.0,1.0,12.0,275.0,989.0,2.0,5.0,3.0,9.0,0,1,0,12.1
1778.0,0,0.5,0,5.6,0,15.0,0.5,102.0,3.0,10.4,1445.0,1954.0,1.0,5.0,6.3,14.0,1,0,0,1.0
1701.0,1,1.6,1,3.0,0,10.0,0.3,194.0,8.0,7.0,550.0,1338.0,2.0,12.0,9.0,6.0,0,1,0,12.1
772.0,1,2.4,1,1.0,1,32.3,0.5,80.0,4.0,2.0,1242.0,1712.0,3.0,18.0,11.0,4.0,1,1,0,4.0
825.0,1,0.5,1,7.0,0,52.0,0.9,130.0,3.0,10.0,597.0,863.0,3.0,10.0,4.0,6.0,0,1,0,12.1
1379.0,0,1.1,0,5.0,1,36.0,0.8,200.0,2.0,7.0,538.0,1376.0,3.0,5.0,4.0,17.0,1,1,1,2.0
1166.0,0,2.0,0,3.0,1,25.0,0.8,198.0,5.0,4.0,59.0,1203.0,2.0,13.0,5.0,15.0,1,0,0,2.0
1659.0,0,2.8,0,5.0,0,16.0,0.6,89.0,1.0,20.0,819.0,902.0,3.0,19.0,14.0,9.0,0,0,1,2.0
826.0,1,2.4,1,5.6,1,59.0,0.3,88.0,4.0,1.0,179.0,786.0,2.0,9.0,3.0,18.0,1,0,1,2.0
1564.0,0,2.3,0,4.0,1,25.0,0.5,189.0,6.0,17.0,1259.0,1965.0,1.0,6.0,4.0,7.0,1,1,1,12.1
1957.0,0,0.9,1,11.0,0,31.0,0.6,181.0,3.0,16.0,396.0,1732.0,3.0,12.0,6.3,7.0,1,0,1,1.0
1571.0,0,1.4,0,5.6,1,32.3,0.1,100.0,6.0,1.0,713.0,1398.0,2.0,12.0,10.0,13.0,1,1,0,12.1
1414.0,0,2.0,1,2.0,0,32.3,0.8,99.0,7.0,3.0,262.0,829.0,3.0,17.0,7.0,7.0,1,0,1,25.0
1790.0,0,2.5,1,9.0,0,2.0,0.1,184.0,1.0,14.0,622.0,792.0,1.0,7.0,6.3,20.0,1,1,1,15.0
645.0,0,0.5,0,1.0,0,41.0,1.0,197.0,7.0,10.0,327.0,580.0,2.0,12.0,9.0,4.0,1,1,1,1.0
668.0,0,2.9,1,7.0,0,32.3,0.2,195.0,8.0,12.0,522.0,1056.0,2.0,10.0,5.0,7.0,1,1,1,2.0
1652.0,1,1.1,1,1.0,0,36.0,0.7,89.0,4.0,5.0,313.0,1264.0,2.0,12.0,8.0,20.0,0,0,0,12.1
1213.0,1,0.5,0,5.6,0,16.0,0.5,108.0,5.0,10.4,226.0,1248.0,2.0,12.0,3.0,9.0,0,0,1,3.0
1272.0,1,2.5,1,5.6,0,22.0,0.9,133.0,6.0,8.0,605.0,669.0,2.0,19.0,4.0,4.0,1,0,0,1.0
866.0,0,0.5,1,5.0,1,46.0,0.5,179.0,8.0,7.0,692.0,1686.0,3.0,12.0,11.0,2.0,1,1,1,12.1
536.0,0,2.4,1,12.0,1,3.0,0.3,182.0,7.0,14.0,1386.0,1539.0,2.0,12.0,9.0,4.0,1,1,0,12.1
523.0,0,2.6,1,1.0,0,14.0,0.1,155.0,8.0,2.0,304.0,1042.0,1.0,9.0,1.0,9.0,0,1,0,14.0
1753.0,0,0.5,1,5.6,1,31.0,0.1,134.0,1.0,18.0,1590.0,1926.0,1.0,17.0,6.3,17.0,1,0,1,1.0
1218.0,0,1.8,1,1.0,1,14.0,0.5,147.0,3.0,4.0,229.0,616.0,2.0,17.0,6.3,5.0,1,0,0,12.1
1537.0,1,2.5,0,4.0,1,43.0,0.3,137.0,1.0,5.0,839.0,1131.0,3.0,18.0,17.0,17.0,1,1,1,23.0
786.0,0,2.2,1,5.6,0,33.0,0.5,141.0,7.0,6.0,507.0,1697.0,2.0,12.0,11.0,5.0,1,0,1,1.0
1678.0,0,2.1,0,3.0,1,65.0,0.9,134.0,3.0,11.0,436.0,536.0,2.0,19.0,6.3,10.0,1,1,0,1.0
1814.0,0,1.4,1,1.0,1,9.0,0.4,141.0,2.0,2.0,756.0,786.0,3.0,18.0,12.0,16.0,1,0,0,12.1
1101.0,0,1.8,0,5.6,0,31.0,0.2,148.0,2.0,7.0,387.0,1269.0,2.0,12.0,6.0,19.0,0,1,1,2.0
1461.0,0,2.4,1,3.0,1,40.0,0.5,141.0,7.0,4.0,1265.0,1298.0,3.0,16.0,1.0,4.0,1,0,0,8.0
1216.0,0,3.0,0,4.0,0,32.3,0.4,199.0,3.0,7.0,1852.0,1967.0,2.0,13.0,5.0,4.0,0,1,1,2.0
506.0,0,1.6,0,6.0,1,41.0,0.8,159.0,1.0,7.0,875.0,1025.0,2.0,13.0,10.0,15.0,1,0,0,2.0
843.0,1,0.5,0,1.0,1,32.3,0.1,147.0,5.0,17.0,140.0,800.0,2.0,10.0,1.0,20.0,1,1,1,2.0
742.0,0,2.2,1,4.0,0,57.0,0.2,190.0,7.0,14.0,577.0,1359.0,3.0,16.0,11.0,12.0,0,1,1,12.1
1692.0,1,2.1,0,3.0,1,62.0,0.9,176.0,6.0,12.0,975.0,1996.0,1.0,16.0,7.0,19.0,1,0,0,35.0
1485.0,0,1.0,0,2.0,1,32.0,0.7,84.0,2.0,9.0,510.0,1013.0,2.0,19.0,1.0,11.0,1,1,0,29.0
1547.0,0,2.9,1,6.0,0,46.0,0.7,166.0,2.0,8.0,583.0,590.0,2.0,12.0,2.0,3.0,0,1,1,41.0
1692.0,0,2.3,1,4.0,1,46.0,0.9,139.0,1.0,6.0,674.0,1925.0,1.0,16.0,10.0,6.0,1,1,0,2.0
637.0,0,2.3,0,3.0,1,32.3,0.8,97.0,4.0,4.0,1125.0,1989.0,2.0,18.0,4.0,8.0,1,0,1,21.0
1224.0,0,0.5,0,16.0,1,6.0,0.4,109.0,6.0,18.0,747.0,826.0,2.0,10.0,6.3,11.0,1,1,1,1.0
1356.0,0,2.8,0,5.6,0,29.0,0.5,198.0,6.0,10.4,1612.0,1983.0,3.0,17.0,6.3,19.0,0,0,0,12.1
1840.0,0,0.5,1,12.0,0,34.0,0.7,142.0,1.0,16.0,311.0,1545.0,1.0,8.0,6.3,10.0,0,0,0,2.0
1481.0,1,0.7,1,4.0,1,37.0,0.6,96.0,5.0,13.0,116.0,1533.0,2.0,10.0,5.0,16.0,1,1,1,2.0
961.0,1,1.5,1,10.0,0,52.0,0.3,152.0,6.0,16.0,554.0,621.0,2.0,15.0,6.0,7.0,1,1,1,1.0
1296.0,0,0.9,1,5.6,1,32.3,0.5,124.0,5.0,3.0,811.0,1272.0,2.0,7.0,1.0,4.0,1,1,1,1.0
1193.0,0,0.9,0,11.0,0,26.0,0.5,166.0,1.0,20.0,730.0,1729.0,2.0,17.0,14.0,4.0,1,0,1,45.0
1441.0,0,2.1,1,11.0,1,3.0,0.1,118.0,8.0,17.0,577.0,1071.0,2.0,16.0,4.0,7.0,1,0,1,1.0
517.0,0,1.4,1,3.0,1,33.0,0.8,183.0,4.0,8.0,660.0,974.0,3.0,17.0,16.0,11.0,1,0,1,1.0
748.0,1,1.7,0,5.6,1,32.3,0.9,150.0,8.0,4.0,450.0,1554.0,2.0,18.0,9.0,7.0,1,0,0,2.0
1126.0,1,2.4,0,2.0,1,10.0,0.4,160.0,6.0,3.0,1223.0,1611.0,2.0,7.0,6.0,12.0,1,1,1,34.0
1572.0,0,0.6,0,5.6,1,58.0,0.2,157.0,7.0,8.0,1109.0,1937.0,2.0,12.0,8.0,10.0,1,0,0,2.0
1569.0,0,2.8,1,17.0,0,45.0,0.3,110.0,4.0,20.0,45.0,1942.0,1.0,9.0,2.0,17.0,1,0,0,12.1
1270.0,1,0.6,1,2.0,1,32.0,0.5,101.0,7.0,6.0,299.0,845.0,3.0,5.0,3.0,13.0,1,1,0,12.1
1854.0,0,3.0,0,2.0,1,8.0,0.1,101.0,5.0,5.0,506.0,627.0,1.0,17.0,4.0,20.0,1,1,0,37.0
625.0,1,1.2,1,5.0,1,10.0,0.2,183.0,4.0,8.0,635.0,842.0,3.0,9.0,1.0,7.0,1,1,1,1.0
1577.0,0,0.5,1,5.6,1,42.0,0.3,197.0,5.0,4.0,1045.0,1737.0,2.0,19.0,6.0,12.0,1,0,0,1.0
534.0,0,0.5,1,5.6,1,16.0,1.0,189.0,5.0,1.0,393.0,1199.0,3.0,16.0,12.0,20.0,1,0,0,11.0
946.0,0,1.7,1,8.0,1,25.0,0.8,143.0,6.0,15.0,650.0,1740.0,2.0,7.0,5.0,13.0,1,1,1,1.0
685.0,0,0.5,0,2.0,0,29.0,0.8,93.0,7.0,10.0,433.0,648.0,2.0,14.0,8.0,4.0,0,0,1,2.0
1949.0,0,1.3,1,5.6,0,23.0,0.1,101.0,5.0,1.0,839.0,1136.0,2.0,14.0,8.0,20.0,1,0,0,37.0
947.0,0,0.8,1,5.6,1,22.0,0.1,197.0,2.0,13.0,1176.0,1220.0,2.0,16.0,12.0,2.0,1,0,0,35.0
801.0,1,2.2,1,2.0,0,63.0,0.4,165.0,7.0,4.0,650.0,879.0,1.0,17.0,4.0,19.0,0,0,1,51.0
703.0,1,2.7,0,12.0,1,30.0,0.3,113.0,1.0,20.0,218.0,1065.0,1.0,14.0,7.0,7.0,1,0,0,2.0
1165.0,1,2.4,0,11.0,0,41.0,0.2,178.0,6.0,12.0,564.0,831.0,2.0,19.0,12.0,15.0,1,0,0,34.0
1082.0,0,0.8,0,5.6,0,38.0,0.1,198.0,8.0,5.0,986.0,1191.0,2.0,6.0,1.0,17.0,0,1,1,1.0
959.0,1,2.6,1,15.0,0,20.0,1.0,84.0,4.0,19.0,561.0,1631.0,3.0,16.0,1.0,6.0,1,0,0,2.0
1502.0,1,1.2,0,5.6,0,54.0,0.2,138.0,5.0,12.0,65.0,588.0,3.0,17.0,14.0,16.0,1,1,0,1.0
1380.0,1,2.1,1,1.0,1,4.0,0.8,92.0,3.0,13.0,420.0,500.0,2.0,13.0,2.0,15.0,1,1,0,1.0
1266.0,0,0.5,0,5.6,1,5.0,0.1,95.0,6.0,9.0,1365.0,1698.0,1.0,11.0,6.3,18.0,1,0,0,17.0
